t (s),r (°),x (°),u_in (°),Kp,Ki,Kd
168.515,90,83.5,-4.265326499938965,1.25,0.4,0.4
168.535,90,83.5,-4.2133283615112305,1.25,0.4,0.4
168.555,90,83,-3.5323286056518555,1.25,0.4,0.4
168.575,90,82.5,-2.84832763671875,1.25,0.4,0.4
168.595,90,82.5,-2.788327217102051,1.25,0.4,0.4
168.615,90,82.5,-2.7273263931274414,1.25,0.4,0.4
168.635,90,83,-3.294325828552246,1.25,0.4,0.4
168.655,90,83,-3.238326072692871,1.25,0.4,0.4
168.675,90,83.5,-3.8103275299072266,1.25,0.4,0.4
168.695,90,83.5,-3.758328437805176,1.25,0.4,0.4
168.715,90,83.5,-3.706329345703125,1.25,0.4,0.4
168.735,90,83.5,-3.654330253601074,1.25,0.4,0.4
168.755,90,83.5,-3.60233211517334,1.25,0.4,0.4
168.775,90,84,-3.550333023071289,1.25,0.4,0.4
168.795,90,84,-4.127331733703613,1.25,0.4,0.4
168.815,90,84,-4.0793304443359375,1.25,0.4,0.4
168.835,90,84,-4.031329154968262,1.25,0.4,0.4
168.855,90,83.5,36.642669677734375,1.25,0.4,0.4
168.875,90,84,-3.933328628540039,1.25,0.4,0.4
168.895,90,84,-3.8853273391723633,1.25,0.4,0.4
168.915,90,85,-5.093327522277832,1.25,0.4,0.4
168.935,90,85.5,-5.681328773498535,1.25,0.4,0.4
168.955,90,85,-5.018329620361328,1.25,0.4,0.4
168.975,90,85,-4.978330612182617,1.25,0.4,0.4
168.995,90,84.5,-4.310330390930176,1.25,0.4,0.4
169.015,90,84.5,-4.266329765319824,1.25,0.4,0.4
169.035,90,84.5,-4.222330093383789,1.25,0.4,0.4
169.055,90,84.5,-4.1783294677734375,1.25,0.4,0.4
169.075,90,84.5,-4.134329795837402,1.25,0.4,0.4
169.095,90,84.5,-4.090329170227051,1.25,0.4,0.4
169.115,90,84.5,-4.046328544616699,1.25,0.4,0.4
169.135,90,84.5,-4.002328872680664,1.25,0.4,0.4
169.155,90,84.5,-3.9583282470703125,1.25,0.4,0.4
169.175,90,84.5,-3.9143285751342773,1.25,0.4,0.4
169.195,90,84.5,-43.869327545166016,1.25,0.4,0.4
169.215,90,84.5,-3.8253278732299805,1.25,0.4,0.4
169.235,90,85,-44,1.25,0.4,0.4
169.255,90,85,-4.367327690124512,1.25,0.4,0.4
169.275,90,84.5,36.29867172241211,1.25,0.4,0.4
169.295,90,84.5,-3.6573286056518555,1.25,0.4,0.4
169.315,90,84.5,-3.613327980041504,1.25,0.4,0.4
169.335,90,84.5,-3.5703277587890625,1.25,0.4,0.4
169.355,90,84.5,-3.527327537536621,1.25,0.4,0.4
169.375,90,84,-2.8543272018432617,1.25,0.4,0.4
169.395,90,83.5,-2.1793270111083984,1.25,0.4,0.4
169.415,90,83.5,-2.1273279190063477,1.25,0.4,0.4
169.435,90,83.5,-2.075328826904297,1.25,0.4,0.4
169.455,90,83,-1.3943290710449219,1.25,0.4,0.4
169.475,90,83,-1.3383293151855469,1.25,0.4,0.4
169.495,90,83,-1.2823295593261719,1.25,0.4,0.4
169.515,90,83.5,-1.8543310165405273,1.25,0.4,0.4
169.535,90,84,-2.429330825805664,1.25,0.4,0.4
169.555,90,84.5,-43.00733184814453,1.25,0.4,0.4
169.575,90,85,-3.5913305282592773,1.25,0.4,0.4
169.595,90,85.5,-4.1793317794799805,1.25,0.4,0.4
169.615,90,85,-3.5163326263427734,1.25,0.4,0.4
169.635,90,85,-3.476332664489746,1.25,0.4,0.4
169.655,90,84.5,-2.807332992553711,1.25,0.4,0.4
