t (s),r (°),x (°),u_in (°),Kp,Ki,Kd
1.535,90,92,-3.799999952316284,1.9,0,0.2
1.555,90,92,-3.799999952316284,1.9,0,0.2
1.575,90,92,-3.799999952316284,1.9,0,0.2
1.595,90,92,-3.799999952316284,1.9,0,0.2
1.615,90,92,-3.799999952316284,1.9,0,0.2
1.635,90,92,-3.799999952316284,1.9,0,0.2
1.655,90,92,-3.799999952316284,1.9,0,0.2
1.675,90,92,-3.799999952316284,1.9,0,0.2
1.695,90,92,-3.799999952316284,1.9,0,0.2
1.715,90,92,-3.799999952316284,1.9,0,0.2
1.735,90,92,-3.799999952316284,1.9,0,0.2
1.755,90,92,-3.799999952316284,1.9,0,0.2
1.775,90,92,-3.799999952316284,1.9,0,0.2
1.795,90,92,-3.799999952316284,1.9,0,0.2
1.815,90,92,-3.799999952316284,1.9,0,0.2
1.835,90,92,-3.799999952316284,1.9,0,0.2
1.855,90,92,-3.799999952316284,1.9,0,0.2
1.875,90,92,-3.799999952316284,1.9,0,0.2
1.895,90,92,-3.799999952316284,1.9,0,0.2
1.915,90,92,-3.799999952316284,1.9,0,0.2
1.935,90,92,-3.799999952316284,1.9,0,0.2
1.955,90,92,-3.799999952316284,1.9,0,0.2
1.975,90,92,-3.799999952316284,1.9,0,0.2
1.995,90,92,-3.799999952316284,1.9,0,0.2
2.015,90,92,-3.799999952316284,1.9,0,0.2
2.035,90,92,-3.799999952316284,1.9,0,0.2
2.055,90,92,-3.799999952316284,1.9,0,0.2
2.075,90,92,-3.799999952316284,1.9,0,0.2
2.095,90,92,-3.799999952316284,1.9,0,0.2
2.115,90,92,-3.799999952316284,1.9,0,0.2
2.135,90,92,-23.799999237060547,1.9,0,0.2
2.155,90,92,-3.799999952316284,1.9,0,0.2
2.175,90,92,-3.799999952316284,1.9,0,0.2
2.195,90,92,-3.799999952316284,1.9,0,0.2
2.215,90,92,-3.799999952316284,1.9,0,0.2
2.235,90,91.5,17.149999618530273,1.9,0,0.2
2.255,90,92,-3.799999952316284,1.9,0,0.2
2.275,90,92,-3.799999952316284,1.9,0,0.2
2.295,90,92,-3.799999952316284,1.9,0,0.2
2.315,90,92,-3.799999952316284,1.9,0,0.2
2.335,90,92,-3.799999952316284,1.9,0,0.2
2.355,90,92,-3.799999952316284,1.9,0,0.2
2.375,90,92,-3.799999952316284,1.9,0,0.2
2.395,90,91.5,17.149999618530273,1.9,0,0.2
2.415,90,91.5,17.149999618530273,1.9,0,0.2
2.435,90,91.5,-2.8499999046325684,1.9,0,0.2
2.455,90,91.5,-2.8499999046325684,1.9,0,0.2
2.475,90,91.5,-2.8499999046325684,1.9,0,0.2
2.495,90,91.5,-2.8499999046325684,1.9,0,0.2
2.515,90,91.5,-2.8499999046325684,1.9,0,0.2
2.535,90,91.5,-2.8499999046325684,1.9,0,0.2
2.555,90,91.5,-2.8499999046325684,1.9,0,0.2
2.575,90,91.5,-2.8499999046325684,1.9,0,0.2
2.595,90,91.5,-2.8499999046325684,1.9,0,0.2
2.615,90,91.5,17.149999618530273,1.9,0,0.2
2.635,90,91.5,-2.8499999046325684,1.9,0,0.2
2.655,90,91.5,-2.8499999046325684,1.9,0,0.2
2.675,90,91.5,-2.8499999046325684,1.9,0,0.2
2.695,90,91.5,-2.8499999046325684,1.9,0,0.2
2.715,90,91.5,-2.8499999046325684,1.9,0,0.2
2.735,90,91.5,-2.8499999046325684,1.9,0,0.2
2.755,90,91.5,-2.8499999046325684,1.9,0,0.2
2.775,90,91.5,-2.8499999046325684,1.9,0,0.2
