t (s),r (°),x (°),u_in (°),Kp,Ki,Kd
85.355,90,92.5,-4.75,1.9,0,0.2
85.375,90,92,16.200000762939453,1.9,0,0.2
85.395,90,92,-3.799999952316284,1.9,0,0.2
85.415,90,92,-3.799999952316284,1.9,0,0.2
85.435,90,92.5,-4.75,1.9,0,0.2
85.455,90,93,-5.699999809265137,1.9,0,0.2
85.475,90,92.5,15.25,1.9,0,0.2
85.495,90,92.5,-4.75,1.9,0,0.2
85.515,90,92.5,-4.75,1.9,0,0.2
85.535,90,92.5,-4.75,1.9,0,0.2
85.555,90,92.5,-4.75,1.9,0,0.2
85.575,90,92.5,-4.75,1.9,0,0.2
85.595,90,92.5,-4.75,1.9,0,0.2
85.615,90,92.5,15.25,1.9,0,0.2
85.635,90,92.5,-4.75,1.9,0,0.2
85.655,90,92.5,-4.75,1.9,0,0.2
85.675,90,92.5,-4.75,1.9,0,0.2
85.695,90,93,-5.699999809265137,1.9,0,0.2
85.715,90,93,-5.699999809265137,1.9,0,0.2
85.735,90,93,-5.699999809265137,1.9,0,0.2
85.755,90,93,-4.75,1.9,0,0.2
85.775,90,93,-5.699999809265137,1.9,0,0.2
85.795,90,93,-5.699999809265137,1.9,0,0.2
85.815,90,93,-5.699999809265137,1.9,0,0.2
85.835,90,93,14.300000190734863,1.9,0,0.2
85.855,90,93,-5.699999809265137,1.9,0,0.2
85.875,90,93,-5.699999809265137,1.9,0,0.2
85.895,90,93,-5.699999809265137,1.9,0,0.2
85.915,90,93,-5.699999809265137,1.9,0,0.2
85.935,90,92.5,-4.75,1.9,0,0.2
85.955,90,92.5,-4.75,1.9,0,0.2
85.975,90,93,-25.700000762939453,1.9,0,0.2
85.995,90,93,-5.699999809265137,1.9,0,0.2
86.015,90,93,-5.699999809265137,1.9,0,0.2
86.035,90,93,-5.699999809265137,1.9,0,0.2
86.055,90,93,-5.699999809265137,1.9,0,0.2
86.075,90,93,-5.699999809265137,1.9,0,0.2
86.095,90,92.5,15.25,1.9,0,0.2
86.115,90,92.5,-4.75,1.9,0,0.2
86.135,90,92.5,-24.75,1.9,0,0.2
86.155,90,92,-3.799999952316284,1.9,0,0.2
86.175,90,92.5,-4.75,1.9,0,0.2
86.195,90,92.5,-4.75,1.9,0,0.2
86.215,90,93,-25.700000762939453,1.9,0,0.2
86.235,90,93,-5.699999809265137,1.9,0,0.2
86.255,90,93,-5.699999809265137,1.9,0,0.2
86.275,90,93,-5.699999809265137,1.9,0,0.2
86.295,90,92,16.200000762939453,1.9,0,0.2
86.315,90,92,-3.799999952316284,1.9,0,0.2
86.335,90,92,-3.799999952316284,1.9,0,0.2
86.355,90,92.5,-24.75,1.9,0,0.2
86.375,90,92.5,-4.75,1.9,0,0.2
86.395,90,93,-5.699999809265137,1.9,0,0.2
86.415,90,92.5,15.25,1.9,0,0.2
86.435,90,92.5,-4.75,1.9,0,0.2
86.455,90,92.5,-4.75,1.9,0,0.2
86.475,90,93,-5.699999809265137,1.9,0,0.2
86.495,90,93,-5.699999809265137,1.9,0,0.2
86.515,90,93,-5.699999809265137,1.9,0,0.2
86.535,90,93,-5.699999809265137,1.9,0,0.2
86.555,90,93,-5.699999809265137,1.9,0,0.2
86.575,90,93,-5.699999809265137,1.9,0,0.2
86.595,90,93,-5.699999809265137,1.9,0,0.2
86.615,90,93,-5.699999809265137,1.9,0,0.2
86.635,90,93,-5.699999809265137,1.9,0,0.2
86.655,90,92.5,15.25,1.9,0,0.2
86.675,90,92,-3.799999952316284,1.9,0,0.2
86.695,90,92,-3.799999952316284,1.9,0,0.2
86.715,90,92,-3.799999952316284,1.9,0,0.2
86.735,90,92.5,-24.75,1.9,0,0.2
86.755,90,92.5,-4.75,1.9,0,0.2
86.775,90,92.5,-4.75,1.9,0,0.2
86.795,90,92.5,-4.75,1.9,0,0.2
86.815,90,92.5,-4.75,1.9,0,0.2
86.835,90,92.5,-4.75,1.9,0,0.2
86.855,90,92.5,-4.75,1.9,0,0.2
86.875,90,93,-5.699999809265137,1.9,0,0.2
86.895,90,93,-5.699999809265137,1.9,0,0.2
86.915,90,93,-5.699999809265137,1.9,0,0.2
86.935,90,93,-5.699999809265137,1.9,0,0.2
86.955,90,93,-5.699999809265137,1.9,0,0.2
86.975,90,92.5,15.25,1.9,0,0.2
86.995,90,93,-5.699999809265137,1.9,0,0.2
87.015,90,93,-5.699999809265137,1.9,0,0.2
87.035,90,92.5,-4.75,1.9,0,0.2
87.055,90,92.5,-4.75,1.9,0,0.2
87.075,90,92.5,-4.75,1.9,0,0.2
87.095,90,92.5,-4.75,1.9,0,0.2
87.115,90,92.5,-4.75,1.9,0,0.2
87.135,90,93,-25.700000762939453,1.9,0,0.2
87.155,90,92.5,-4.75,1.9,0,0.2
87.175,90,92.5,-4.75,1.9,0,0.2
87.195,90,93,-5.699999809265137,1.9,0,0.2
87.215,90,93,-5.699999809265137,1.9,0,0.2
87.235,90,93,-5.699999809265137,1.9,0,0.2
87.255,90,93,-5.699999809265137,1.9,0,0.2
87.275,90,93,-5.699999809265137,1.9,0,0.2
87.295,90,93,-5.699999809265137,1.9,0,0.2
87.315,90,92.5,-4.75,1.9,0,0.2
87.335,90,92.5,-4.75,1.9,0,0.2
87.355,90,93,-5.699999809265137,1.9,0,0.2
87.375,90,93,-5.699999809265137,1.9,0,0.2
87.395,90,93,-5.699999809265137,1.9,0,0.2
87.415,90,93,-5.699999809265137,1.9,0,0.2
87.435,90,93,-5.699999809265137,1.9,0,0.2
87.455,90,93,-5.699999809265137,1.9,0,0.2
87.475,90,92,16.200000762939453,1.9,0,0.2
87.495,90,92,-3.799999952316284,1.9,0,0.2
87.515,90,92,-3.799999952316284,1.9,0,0.2
87.535,90,92,-3.799999952316284,1.9,0,0.2
87.555,90,92,-3.799999952316284,1.9,0,0.2
87.575,90,92.5,-4.75,1.9,0,0.2
87.595,90,93,-5.699999809265137,1.9,0,0.2
87.615,90,92.5,15.25,1.9,0,0.2
87.635,90,92.5,-4.75,1.9,0,0.2
87.655,90,92.5,-4.75,1.9,0,0.2
87.675,90,93,-5.699999809265137,1.9,0,0.2
87.695,90,93,-5.699999809265137,1.9,0,0.2
87.715,90,92.5,-4.75,1.9,0,0.2
87.735,90,92.5,-4.75,1.9,0,0.2
87.755,90,92.5,-4.75,1.9,0,0.2
87.775,90,92,16.200000762939453,1.9,0,0.2
87.795,90,92,-3.799999952316284,1.9,0,0.2
87.815,90,92.5,-4.75,1.9,0,0.2
87.835,90,93,-5.699999809265137,1.9,0,0.2
87.855,90,93,-5.699999809265137,1.9,0,0.2
87.875,90,93,-5.699999809265137,1.9,0,0.2
87.895,90,92.5,15.25,1.9,0,0.2
87.915,90,92,-3.799999952316284,1.9,0,0.2
87.935,90,92,-3.799999952316284,1.9,0,0.2
87.955,90,92,-3.799999952316284,1.9,0,0.2
87.975,90,92.5,-4.75,1.9,0,0.2
